SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
17050,04/21/2020,,Afghanistan,21-04-2020 23:39,1092,36,150
17051,04/21/2020,,Albania,21-04-2020 23:39,609,26,345
17052,04/21/2020,,Algeria,21-04-2020 23:39,2811,392,1152
17053,04/21/2020,,Andorra,21-04-2020 23:39,717,37,282
17054,04/21/2020,,Angola,21-04-2020 23:39,24,2,6
17055,04/21/2020,,Antigua and Barbuda,21-04-2020 23:39,23,3,7
17056,04/21/2020,,Argentina,21-04-2020 23:39,3031,147,840
17057,04/21/2020,,Armenia,21-04-2020 23:39,1401,24,609
17058,04/21/2020,,Austria,21-04-2020 23:39,14873,491,10971
17059,04/21/2020,,Azerbaijan,21-04-2020 23:39,1480,20,865
17060,04/21/2020,,Bahamas,21-04-2020 23:39,65,9,12
17061,04/21/2020,,Bahrain,21-04-2020 23:39,1973,7,784
17062,04/21/2020,,Bangladesh,21-04-2020 23:39,3382,110,87
17063,04/21/2020,,Barbados,21-04-2020 23:39,75,5,25
17064,04/21/2020,,Belarus,21-04-2020 23:39,6723,55,577
17065,04/21/2020,,Belgium,21-04-2020 23:39,40956,5998,9002
17066,04/21/2020,,Belize,21-04-2020 23:39,18,2,2
17067,04/21/2020,,Benin,21-04-2020 23:39,54,1,27
17068,04/21/2020,,Bhutan,21-04-2020 23:39,6,0,2
17069,04/21/2020,,Bolivia,21-04-2020 23:39,598,34,37
17070,04/21/2020,,Bosnia and Herzegovina,21-04-2020 23:39,1342,51,437
17071,04/21/2020,,Botswana,21-04-2020 23:39,20,1,0
17072,04/21/2020,,Brazil,21-04-2020 23:39,43079,2741,22991
17073,04/21/2020,,Brunei,21-04-2020 23:39,138,1,116
17074,04/21/2020,,Bulgaria,21-04-2020 23:39,975,45,170
17075,04/21/2020,,Burkina Faso,21-04-2020 23:39,600,38,362
17076,04/21/2020,,Burma,21-04-2020 23:39,121,5,7
17077,04/21/2020,,Burundi,21-04-2020 23:39,5,1,4
17078,04/21/2020,,Cabo Verde,21-04-2020 23:39,68,1,1
17079,04/21/2020,,Cambodia,21-04-2020 23:39,122,0,110
17080,04/21/2020,,Cameroon,21-04-2020 23:39,1163,43,329
17081,04/21/2020,,Central African Republic,21-04-2020 23:39,14,0,10
17082,04/21/2020,,Chad,21-04-2020 23:39,33,0,8
17083,04/21/2020,,Chile,21-04-2020 23:39,10832,147,4969
17084,04/21/2020,,Colombia,21-04-2020 23:39,4149,196,804
17085,04/21/2020,,Congo (Brazzaville),21-04-2020 23:39,165,6,16
17086,04/21/2020,,Congo (Kinshasa),21-04-2020 23:39,350,25,35
17087,04/21/2020,,Costa Rica,21-04-2020 23:39,669,6,150
17088,04/21/2020,,Croatia,21-04-2020 23:39,1908,48,801
17089,04/21/2020,,Cuba,21-04-2020 23:39,1137,38,309
17090,04/21/2020,,Cyprus,21-04-2020 23:39,784,12,98
17091,04/21/2020,,Czech Republic,21-04-2020 23:39,7033,201,1753
17092,04/21/2020,,Denmark,21-04-2020 23:39,7695,370,4700
17093,04/21/2020,,Diamond Princess,21-04-2020 23:39,712,13,644
17094,04/21/2020,,Djibouti,21-04-2020 23:39,945,2,112
17095,04/21/2020,,Dominica,21-04-2020 23:39,16,0,8
17096,04/21/2020,,Dominican Republic,21-04-2020 23:39,5044,245,463
17097,04/21/2020,,Ecuador,21-04-2020 23:39,10398,520,1207
17098,04/21/2020,,Egypt,21-04-2020 23:39,3490,264,870
17099,04/21/2020,,El Salvador,21-04-2020 23:39,225,7,48
17100,04/21/2020,,Equatorial Guinea,21-04-2020 23:39,83,0,7
17101,04/21/2020,,Eritrea,21-04-2020 23:39,39,0,6
17102,04/21/2020,,Estonia,21-04-2020 23:39,1552,43,169
17103,04/21/2020,,Eswatini,21-04-2020 23:39,31,1,8
17104,04/21/2020,,Ethiopia,21-04-2020 23:39,114,3,16
17105,04/21/2020,,Fiji,21-04-2020 23:39,18,0,3
17106,04/21/2020,,Finland,21-04-2020 23:39,4014,141,2000
17107,04/21/2020,,France,21-04-2020 23:39,158050,20796,39181
17108,04/21/2020,,Gabon,21-04-2020 23:39,156,1,16
17109,04/21/2020,,Gambia,21-04-2020 23:39,10,1,2
17110,04/21/2020,,Georgia,21-04-2020 23:39,408,4,97
17111,04/21/2020,,Germany,21-04-2020 23:39,148291,5033,95200
17112,04/21/2020,,Ghana,21-04-2020 23:39,1042,9,99
17113,04/21/2020,,Greece,21-04-2020 23:39,2401,121,577
17114,04/21/2020,,Grenada,21-04-2020 23:39,14,0,6
17115,04/21/2020,,Guatemala,21-04-2020 23:39,294,7,24
17116,04/21/2020,,Guinea,21-04-2020 23:39,688,6,127
